PersonnelBaseId,prs_typ_id,EfficiencyRolePoint,RequirementWorkMins_esti,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2315,1,2,10850,3,2,4,13,1,1,1,12,3,23,1,4,3,13,4,12,13,4,2,1,12,1,13,1,23,1,1,2,23,3,4
2356,1,2,10850,12,1,1,13,23,1,2,3,23,12,4,12,12,12,4,3,23,2,23,2,12,23,4,12,1,3,2,23,2,1,4
84334,1,2,10850,2,1,1,2,12,23,23,3,1,1,2,13,1,23,1,23,2,12,4,23,1,2,23,23,23,12,13,3,23,1,2
105116,1,3,10790,12,2,4,1,2,1,13,13,3,4,1,13,2,13,2,13,23,4,1,2,1,2,12,12,1,12,12,1,1,23,12
110942,1,3,10790,2,2,2,12,4,2,23,4,1,4,1,23,13,1,1,2,13,23,23,23,3,12,13,23,2,13,13,2,23,23,2
149071,1,3,10790,13,12,2,1,3,12,1,4,13,3,23,1,2,1,2,2,4,2,13,4,23,2,1,23,1,2,13,13,1,2,23
2752491,1,3,10790,3,4,1,12,3,4,12,12,1,3,12,2,12,3,23,23,1,3,13,3,2,23,4,12,4,13,1,2,23,13,12
2891388,2,3,10790,23,3,3,4,3,1,1,1,23,12,1,12,2,12,12,3,4,2,12,23,3,3,12,4,3,3,3,13,1,2,4
2989981,2,3,10790,4,2,4,2,12,23,4,4,1,23,1,13,4,12,2,12,3,3,12,3,3,4,1,1,12,1,12,12,2,2,4
